cohort,pipeline,seed,model,task_idx,subject_acc
ftd,ANOVA,49,MLP_(Neural_Network),2,0.9615384615384616
ftd,ANOVA,49,SVM,0,0.8653846153846154
ftd,ANOVA,49,SVM,1,0.5769230769230769
ftd,ANOVA,49,SVM,2,0.5576923076923077
ftd,ANOVA,49,XGBoost,0,0.9615384615384616
ftd,ANOVA,49,XGBoost,1,1.0
ftd,ANOVA,49,XGBoost,2,0.9807692307692307
ftd,ANOVA,50,KNN,0,0.9615384615384616
ftd,ANOVA,50,KNN,1,0.9230769230769231
ftd,ANOVA,50,KNN,2,1.0
ftd,ANOVA,50,MLP_(Neural_Network),0,0.9423076923076923
ftd,ANOVA,50,MLP_(Neural_Network),1,0.9423076923076923
ftd,ANOVA,50,MLP_(Neural_Network),2,0.8076923076923077
ftd,ANOVA,50,SVM,0,0.5769230769230769
ftd,ANOVA,50,SVM,1,0.8846153846153846
ftd,ANOVA,50,SVM,2,0.5576923076923077
ftd,ANOVA,50,XGBoost,0,1.0
ftd,ANOVA,50,XGBoost,1,1.0
ftd,ANOVA,50,XGBoost,2,1.0
ftd,ANOVA,51,KNN,0,0.9423076923076923
ftd,ANOVA,51,KNN,1,0.9230769230769231
ftd,ANOVA,51,KNN,2,0.9807692307692307
ftd,ANOVA,51,MLP_(Neural_Network),0,0.9807692307692307
ftd,ANOVA,51,MLP_(Neural_Network),1,0.9230769230769231
ftd,ANOVA,51,MLP_(Neural_Network),2,0.8653846153846154
ftd,ANOVA,51,SVM,0,0.5576923076923077
ftd,ANOVA,51,SVM,1,0.5769230769230769
ftd,ANOVA,51,SVM,2,0.8269230769230769
ftd,ANOVA,51,XGBoost,0,1.0
ftd,ANOVA,51,XGBoost,1,1.0
ftd,ANOVA,51,XGBoost,2,1.0
ftd,PCA,42,KNN,0,0.9615384615384616
ftd,PCA,42,KNN,1,0.9807692307692307
ftd,PCA,42,KNN,2,0.9423076923076923
ftd,PCA,42,MLP_(Neural_Network),0,1.0
ftd,PCA,42,MLP_(Neural_Network),1,1.0
ftd,PCA,42,MLP_(Neural_Network),2,1.0
ftd,PCA,42,SVM,0,0.75
ftd,PCA,42,SVM,1,0.8269230769230769
ftd,PCA,42,SVM,2,0.8653846153846154
ftd,PCA,42,XGBoost,0,1.0
ftd,PCA,42,XGBoost,1,1.0
ftd,PCA,42,XGBoost,2,0.9615384615384616
ftd,PCA,43,KNN,0,0.9230769230769231
ftd,PCA,43,KNN,1,1.0
ftd,PCA,43,KNN,2,0.9423076923076923
ftd,PCA,43,MLP_(Neural_Network),0,1.0
ftd,PCA,43,MLP_(Neural_Network),1,1.0
ftd,PCA,43,MLP_(Neural_Network),2,1.0
ftd,PCA,43,SVM,0,0.7307692307692307
ftd,PCA,43,SVM,1,0.8846153846153846
ftd,PCA,43,SVM,2,0.8269230769230769
ftd,PCA,43,XGBoost,0,1.0
ftd,PCA,43,XGBoost,1,1.0
ftd,PCA,43,XGBoost,2,1.0
ftd,PCA,44,KNN,0,0.9807692307692307
ftd,PCA,44,KNN,1,0.9423076923076923
ftd,PCA,44,KNN,2,0.9423076923076923
ftd,PCA,44,MLP_(Neural_Network),0,1.0
ftd,PCA,44,MLP_(Neural_Network),1,1.0
ftd,PCA,44,MLP_(Neural_Network),2,1.0
ftd,PCA,44,SVM,0,0.9038461538461539
ftd,PCA,44,SVM,1,0.8076923076923077
ftd,PCA,44,SVM,2,0.7307692307692307
ftd,PCA,44,XGBoost,0,0.9807692307692307
ftd,PCA,44,XGBoost,1,0.9807692307692307
ftd,PCA,44,XGBoost,2,0.9807692307692307
ftd,PCA,45,KNN,0,0.9423076923076923
ftd,PCA,45,KNN,1,0.9807692307692307
ftd,PCA,45,KNN,2,1.0
ftd,PCA,45,MLP_(Neural_Network),0,1.0
ftd,PCA,45,MLP_(Neural_Network),1,1.0
ftd,PCA,45,MLP_(Neural_Network),2,1.0
ftd,PCA,45,SVM,0,0.7115384615384616
ftd,PCA,45,SVM,1,0.8076923076923077
ftd,PCA,45,SVM,2,0.8846153846153846
ftd,PCA,45,XGBoost,0,1.0
ftd,PCA,45,XGBoost,1,0.9807692307692307
ftd,PCA,45,XGBoost,2,0.9615384615384616
ftd,PCA,46,KNN,0,1.0
ftd,PCA,46,KNN,1,0.9807692307692307
ftd,PCA,46,KNN,2,0.9423076923076923
