cohort,pipeline,seed,model,accuracy
mdd_eo,ANOVA,46,SVM,0.8604551309574925
mdd_eo,ANOVA,46,MLP,0.9480463718334049
mdd_eo,ANOVA,47,KNN,0.8887934735938171
mdd_eo,ANOVA,47,XGBoost,0.9531987977672821
mdd_eo,ANOVA,47,SVM,0.8574495491627308
mdd_eo,ANOVA,47,MLP,0.9467582653499356
mdd_eo,ANOVA,48,KNN,0.896951481322456
mdd_eo,ANOVA,48,XGBoost,0.948475740661228
mdd_eo,ANOVA,48,SVM,0.8570201803349077
mdd_eo,ANOVA,48,MLP,0.9403177329325891
mdd_eo,ANOVA,49,KNN,0.8922284242164019
mdd_eo,ANOVA,49,XGBoost,0.9454701588664663
mdd_eo,ANOVA,49,SVM,0.8484328037784457
mdd_eo,ANOVA,49,MLP,0.9540575354229283
mdd_eo,ANOVA,50,KNN,0.8948046371833405
mdd_eo,ANOVA,50,XGBoost,0.952769428939459
mdd_eo,ANOVA,50,SVM,0.8540145985401459
mdd_eo,ANOVA,50,MLP,0.9476170030055818
mdd_eo,ANOVA,51,KNN,0.8973808501502791
mdd_eo,ANOVA,51,XGBoost,0.9574924860455131
mdd_eo,ANOVA,51,SVM,0.8595963933018463
mdd_eo,ANOVA,51,MLP,0.9394589952769429
mdd_eo,PCA,42,KNN,0.888364104765994
mdd_eo,PCA,42,XGBoost,0.9282954057535423
mdd_eo,PCA,42,SVM,0.884070416487763
mdd_eo,PCA,42,MLP,0.9416058394160584
mdd_eo,PCA,43,KNN,0.8905109489051095
mdd_eo,PCA,43,XGBoost,0.9261485616144268
mdd_eo,PCA,43,SVM,0.8866466294547016
mdd_eo,PCA,43,MLP,0.944182052382997
mdd_eo,PCA,44,KNN,0.8857878917990554
mdd_eo,PCA,44,XGBoost,0.9338772005152426
mdd_eo,PCA,44,SVM,0.8900815800772864
mdd_eo,PCA,44,MLP,0.9514813224559897
mdd_eo,PCA,45,KNN,0.8857878917990554
mdd_eo,PCA,45,XGBoost,0.9338772005152426
mdd_eo,PCA,45,SVM,0.8909403177329326
mdd_eo,PCA,45,MLP,0.9463288965221125
mdd_eo,PCA,46,KNN,0.8806354658651782
mdd_eo,PCA,46,XGBoost,0.9330184628595964
mdd_eo,PCA,46,SVM,0.8905109489051095
mdd_eo,PCA,46,MLP,0.9463288965221125
mdd_eo,PCA,47,KNN,0.8870759982825247
mdd_eo,PCA,47,XGBoost,0.9347359381708888
mdd_eo,PCA,47,SVM,0.8862172606268784
mdd_eo,PCA,47,MLP,0.9424645770717046
mdd_eo,PCA,48,KNN,0.8900815800772864
mdd_eo,PCA,48,XGBoost,0.9282954057535423
mdd_eo,PCA,48,SVM,0.8853585229712323
mdd_eo,PCA,48,MLP,0.9420352082438815
mdd_eo,PCA,49,KNN,0.8772005152425933
mdd_eo,PCA,49,XGBoost,0.9317303563761271
mdd_eo,PCA,49,SVM,0.8849291541434092
mdd_eo,PCA,49,MLP,0.9437526835551739
mdd_eo,PCA,50,KNN,0.8905109489051095
mdd_eo,PCA,50,XGBoost,0.9373121511378274
mdd_eo,PCA,50,SVM,0.884070416487763
mdd_eo,PCA,50,MLP,0.9424645770717046
mdd_eo,PCA,51,KNN,0.892657793044225
mdd_eo,PCA,51,XGBoost,0.9373121511378274
mdd_eo,PCA,51,SVM,0.8939458995276943
mdd_eo,PCA,51,MLP,0.9514813224559897
scz,ANOVA,42,KNN,0.8518020441097364
scz,ANOVA,42,XGBoost,0.9080150618612157
scz,ANOVA,42,SVM,0.7517482517482518
scz,ANOVA,42,MLP,0.901291016675632
scz,ANOVA,43,KNN,0.8483055406132329
scz,ANOVA,43,XGBoost,0.9112426035502958
scz,ANOVA,43,SVM,0.7557826788596019
scz,ANOVA,43,MLP,0.9007530930607853
scz,ANOVA,44,KNN,0.8509951586874663
scz,ANOVA,44,XGBoost,0.9055944055944056
scz,ANOVA,44,SVM,0.7557826788596019
scz,ANOVA,44,MLP,0.9015599784830554
scz,ANOVA,45,KNN,0.8534158149542765
scz,ANOVA,45,XGBoost,0.9136632598171059
scz,ANOVA,45,SVM,0.7514792899408284
scz,ANOVA,45,MLP,0.8969876277568585
scz,ANOVA,46,KNN,0.835933297471759
scz,ANOVA,46,XGBoost,0.901291016675632
scz,ANOVA,46,SVM,0.7377622377622378
scz,ANOVA,46,MLP,0.8867670790747714
scz,ANOVA,47,KNN,0.8380849919311458
scz,ANOVA,47,XGBoost,0.8986013986013986
scz,ANOVA,47,SVM,0.7474448628294782
scz,ANOVA,47,MLP,0.8881118881118881
scz,ANOVA,48,KNN,0.8509951586874663
scz,ANOVA,48,XGBoost,0.9039806347498656
scz,ANOVA,48,SVM,0.7552447552447552
scz,ANOVA,48,MLP,0.9007530930607853
scz,ANOVA,49,KNN,0.8480365788058096
scz,ANOVA,49,XGBoost,0.907477138246369
scz,ANOVA,49,SVM,0.7461000537923614
scz,ANOVA,49,MLP,0.9020979020979021
scz,ANOVA,50,KNN,0.8496503496503497
scz,ANOVA,50,XGBoost,0.9034427111350188
scz,ANOVA,50,SVM,0.7469069392146315
scz,ANOVA,50,MLP,0.8889187735341582
scz,ANOVA,51,KNN,0.849919311457773
scz,ANOVA,51,XGBoost,0.9090909090909091
scz,ANOVA,51,SVM,0.750403442711135
scz,ANOVA,51,MLP,0.900484131253362
scz,PCA,42,KNN,0.8660570199031737
scz,PCA,42,XGBoost,0.8864981172673481
scz,PCA,42,SVM,0.8692845615922539
scz,PCA,42,MLP,0.9150080688542227
scz,PCA,43,KNN,0.866325981710597
scz,PCA,43,XGBoost,0.8803119956966111
scz,PCA,43,SVM,0.865519096288327
scz,PCA,43,MLP,0.9101667563206025
scz,PCA,44,KNN,0.8652501344809037
scz,PCA,44,XGBoost,0.8937600860677783
scz,PCA,44,SVM,0.8754706831629908
scz,PCA,44,MLP,0.9123184507799892
scz,PCA,45,KNN,0.8649811726734804
scz,PCA,45,XGBoost,0.8851533082302313
scz,PCA,45,SVM,0.8657880580957504
scz,PCA,45,MLP,0.9171597633136095
scz,PCA,46,KNN,0.8461538461538461
scz,PCA,46,XGBoost,0.8789671866594944
scz,PCA,46,SVM,0.8620225927918236
scz,PCA,46,MLP,0.907477138246369
scz,PCA,47,KNN,0.8523399677245831
scz,PCA,47,XGBoost,0.8797740720817644
scz,PCA,47,SVM,0.8566433566433567
scz,PCA,47,MLP,0.9037116729424421
scz,PCA,48,KNN,0.8566433566433567
scz,PCA,48,XGBoost,0.885691231845078
scz,PCA,48,SVM,0.8703604088219473
scz,PCA,48,MLP,0.907477138246369
scz,PCA,49,KNN,0.8679397525551372
scz,PCA,49,XGBoost,0.8873050026896181
scz,PCA,49,SVM,0.8630984400215169
scz,PCA,49,MLP,0.9072081764389457
scz,PCA,50,KNN,0.8601398601398601
scz,PCA,50,XGBoost,0.8808499193114577
scz,PCA,50,SVM,0.8633674018289403
scz,PCA,50,MLP,0.9058633674018289
scz,PCA,51,KNN,0.8550295857988166
scz,PCA,51,XGBoost,0.8932221624529317
scz,PCA,51,SVM,0.8682087143625605
scz,PCA,51,MLP,0.9090909090909091
