experiment,feature_set,P,condition,fold_id,model,hyperparams,task_id,subject_acc,n_subjects_fold,epoch_acc,n_epochs_fold,subject_minus_epoch
ANOVA_L_6_EC,ANOVA,6,EC,sub-4_sub-24_sub-26_sub-30_sub-54_sub-60,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_22_2391,0.8333333333333334,6,0.8801399825021873,1143,-0.04680664916885391
ANOVA_L_6_EC,ANOVA,6,EC,sub-4_sub-24_sub-26_sub-30_sub-54_sub-60,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_22_0408,0.8333333333333334,6,0.8766404199475065,1143,-0.04330708661417315
ANOVA_L_6_EC,ANOVA,6,EC,sub-4_sub-24_sub-26_sub-30_sub-54_sub-60,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_22_6222,0.8333333333333334,6,0.8783902012248469,1143,-0.04505686789151353
ANOVA_L_6_EC,ANOVA,6,EC,sub-13_sub-14_sub-21_sub-46_sub-51_sub-56,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_0_0408,0.8333333333333334,6,0.8178723404255319,1175,0.015460992907801452
ANOVA_L_6_EC,ANOVA,6,EC,sub-13_sub-14_sub-21_sub-46_sub-51_sub-56,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_0_6222,0.8333333333333334,6,0.8085106382978723,1175,0.024822695035461084
ANOVA_L_6_EC,ANOVA,6,EC,sub-13_sub-14_sub-21_sub-46_sub-51_sub-56,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_0_2391,0.8333333333333334,6,0.8229787234042554,1175,0.010354609929077996
ANOVA_L_6_EC,ANOVA,6,EC,sub-13_sub-23_sub-29_sub-39_sub-45_sub-47,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_3_2391,1.0,6,0.8823529411764706,1190,0.11764705882352944
ANOVA_L_6_EC,ANOVA,6,EC,sub-13_sub-23_sub-29_sub-39_sub-45_sub-47,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_3_6222,1.0,6,0.8873949579831932,1190,0.11260504201680677
ANOVA_L_6_EC,ANOVA,6,EC,sub-13_sub-23_sub-29_sub-39_sub-45_sub-47,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_3_0408,1.0,6,0.888235294117647,1190,0.11176470588235299
ANOVA_L_6_EC,ANOVA,6,EC,sub-8_sub-9_sub-26_sub-30_sub-34_sub-53,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_42_2391,1.0,6,0.89748045178106,1151,0.10251954821894005
ANOVA_L_6_EC,ANOVA,6,EC,sub-8_sub-9_sub-26_sub-30_sub-34_sub-53,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_42_6222,1.0,6,0.9070373588184187,1151,0.09296264118158126
ANOVA_L_6_EC,ANOVA,6,EC,sub-8_sub-9_sub-26_sub-30_sub-34_sub-53,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_42_0408,1.0,6,0.8809730668983493,1151,0.11902693310165069
ANOVA_L_6_EC,ANOVA,6,EC,sub-4_sub-10_sub-23_sub-36_sub-49_sub-57,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_20_0408,1.0,6,0.9596122778675282,1238,0.04038772213247177
ANOVA_L_6_EC,ANOVA,6,EC,sub-4_sub-10_sub-23_sub-36_sub-49_sub-57,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_20_6222,1.0,6,0.9668820678513732,1238,0.033117932148626794
