experiment,feature_set,holdout_size_P,condition,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-14_sub-21_sub-46_sub-51_sub-56,task_KNN_0_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4919148936170213,0.9188003672345201
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-23_sub-29_sub-39_sub-45_sub-47,task_KNN_3_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.49747899159663866,0.9124438087454025
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-23_sub-29_sub-39_sub-45_sub-47,task_KNN_3_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.49747899159663866,0.925010216591745
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-23_sub-29_sub-39_sub-45_sub-47,task_KNN_3_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5109243697478991,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-8_sub-9_sub-26_sub-30_sub-34_sub-53,task_KNN_42_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.48132059079061684,0.917370509819884
PCA_L_6_EC,PCA,6,EC,KNN,sub-8_sub-9_sub-26_sub-30_sub-34_sub-53,task_KNN_42_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5516941789748045,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-8_sub-9_sub-26_sub-30_sub-34_sub-53,task_KNN_42_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.48132059079061684,0.929581764526305
PCA_L_6_EC,PCA,6,EC,KNN,sub-4_sub-10_sub-23_sub-36_sub-49_sub-57,task_KNN_20_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.4886914378029079,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-4_sub-10_sub-23_sub-36_sub-49_sub-57,task_KNN_20_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.4781906300484653,0.9212525667351129
PCA_L_6_EC,PCA,6,EC,KNN,sub-4_sub-10_sub-23_sub-36_sub-49_sub-57,task_KNN_20_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4781906300484653,0.9074948665297742
PCA_L_6_EC,PCA,6,EC,KNN,sub-20_sub-23_sub-25_sub-30_sub-37_sub-50,task_KNN_7_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.4987012987012987,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-20_sub-23_sub-25_sub-30_sub-37_sub-50,task_KNN_7_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.47878787878787876,0.9268044385625572
PCA_L_6_EC,PCA,6,EC,KNN,sub-20_sub-23_sub-25_sub-30_sub-37_sub-50,task_KNN_7_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.47878787878787876,0.9143846075537005
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-4_sub-14_sub-47_sub-50_sub-56,task_KNN_17_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.49233390119250425,0.92890656874745
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-4_sub-14_sub-47_sub-50_sub-56,task_KNN_17_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.489778534923339,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-4_sub-14_sub-47_sub-50_sub-56,task_KNN_17_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.49233390119250425,0.9155446756425949
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-9_sub-20_sub-35_sub-48_sub-54,task_KNN_33_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.491928632115548,0.9151107029894908
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-9_sub-20_sub-35_sub-48_sub-54,task_KNN_33_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5573491928632116,0.9300071421283542
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-9_sub-20_sub-35_sub-48_sub-54,task_KNN_33_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6346644010195412,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-2_sub-8_sub-27_sub-42_sub-57_sub-59,task_KNN_11_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.49958088851634536,0.9217169136433316
PCA_L_6_EC,PCA,6,EC,KNN,sub-2_sub-8_sub-27_sub-42_sub-57_sub-59,task_KNN_11_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.4953897736797988,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-2_sub-8_sub-27_sub-42_sub-57_sub-59,task_KNN_11_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.49958088851634536,0.909964230965764
PCA_L_6_EC,PCA,6,EC,KNN,sub-8_sub-10_sub-28_sub-43_sub-59_sub-61,task_KNN_38_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.47317073170731705,0.9090069757899056
PCA_L_6_EC,PCA,6,EC,KNN,sub-8_sub-10_sub-28_sub-43_sub-59_sub-61,task_KNN_38_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.47317073170731705,0.9237792367665162
PCA_L_6_EC,PCA,6,EC,KNN,sub-8_sub-10_sub-28_sub-43_sub-59_sub-61,task_KNN_38_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.47317073170731705,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-15_sub-16_sub-34_sub-41_sub-42,task_KNN_30_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.49915397631133673,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-15_sub-16_sub-34_sub-41_sub-42,task_KNN_30_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5033840947546532,0.9291547570436913
