feature_idx,label,channel,band,f_stat,p_value,cohen_d,abs_d,mean_disease,mean_control,n_disease,n_control,rank
14,F4_Alpha,F4,Alpha,24.119443932334764,9.131259080075034e-07,-0.0723268885005243,0.0723268885005243,0.41880424858052095,0.4365156910568996,9921,8614,53
61,T6_Theta,T6,Theta,23.20358791030058,1.4687692551868226e-06,-0.07094041236177147,0.07094041236177147,0.1569137494346545,0.16390917990219173,9921,8614,54
63,T6_Beta,T6,Beta,21.429295138806715,3.6960824533198602e-06,-0.06817420462180436,0.06817420462180436,0.05818122492944007,0.061229570471779154,9921,8614,55
53,T4_Theta,T4,Theta,20.088687000446306,7.437554994182113e-06,-0.06600729152330008,0.06600729152330008,0.1619760844501067,0.16808960355990032,9921,8614,56
1,Fp1_Theta,Fp1,Theta,19.261033049146775,1.1463964036669924e-05,-0.06463323965006912,0.06463323965006912,0.13175148332241354,0.13716759539423706,9921,8614,57
68,Cz_Delta,Cz,Delta,17.209458186525154,3.362577315255911e-05,-0.061094165264607286,0.061094165264607286,0.41824877258875215,0.4305300419030311,9921,8614,58
71,Cz_Beta,Cz,Beta,15.586044126759377,7.91254798254911e-05,0.05814121288922235,0.05814121288922235,0.04870181279521648,0.04678792915149674,9921,8614,59
36,O2_Delta,O2,Delta,14.157134806921558,0.00016867615320821202,0.055411999344508404,0.055411999344508404,0.31678020286959896,0.304425962844471,9921,8614,60
75,Pz_Beta,Pz,Beta,13.767982817052225,0.00020743585142896987,0.05464510871363628,0.05464510871363628,0.05636555760805053,0.053926363936417206,9921,8614,61
56,T5_Delta,T5,Delta,12.920164999652865,0.00032590454303341626,-0.05293588359411511,0.05293588359411511,0.42905481467958867,0.4398690295673933,9921,8614,62
58,T5_Alpha,T5,Alpha,12.39506601247136,0.0004315032095205671,0.05184902077380036,0.05184902077380036,0.33262778159239703,0.3218346499830241,9921,8614,63
10,F3_Alpha,F3,Alpha,9.043040508380551,0.002640502516202903,0.044286705559775805,0.044286705559775805,0.3026678396371961,0.2940590203233759,9921,8614,64
17,C3_Theta,C3,Theta,8.383320454920034,0.003791222693251064,-0.042640684766673195,0.042640684766673195,0.12559623828133973,0.12957608685692637,9921,8614,65
38,O2_Alpha,O2,Alpha,4.752091151716416,0.029275253590309226,-0.032103953513294016,0.032103953513294016,0.49608580909139105,0.5049277320002112,9921,8614,66
30,P4_Alpha,P4,Alpha,4.463844757359372,0.03463282727463333,0.031115062512274236,0.031115062512274236,0.29571147050759483,0.2896457532973006,9921,8614,67
67,Fz_Beta,Fz,Beta,4.438506038400261,0.03515038596616642,0.031026625536785556,0.031026625536785556,0.042128465088639655,0.041174277995451806,9921,8614,68
18,C3_Alpha,C3,Alpha,3.0408235209964074,0.08121129702984085,-0.02568098898715934,0.02568098898715934,0.5105362787133625,0.5174524818237539,9921,8614,69
93,Cz_all_bands,Cz,all_bands,1.8959487152715704,0.16854912010105869,-0.02027820127823665,0.02027820127823665,-6.801995766367729e-08,2.3487233256786953e-10,9921,8614,70
80,C3_all_bands,C3,all_bands,1.869382705566373,0.17156237766739788,-0.02013563114220446,0.02013563114220446,-6.057621180190754e-08,4.3004035488804764e-09,9921,8614,71
24,P3_Delta,P3,Delta,1.2191901241934349,0.2695339845930243,0.016261172418576924,0.016261172418576924,0.5585270112578032,0.5549058767508487,9921,8614,72
28,P4_Delta,P4,Delta,1.192229255064624,0.27489454392288765,0.016080369498592314,0.016080369498592314,0.4589517412838466,0.455676966122895,9921,8614,73
33,O1_Theta,O1,Theta,0.4557058160194097,0.49964615543979685,0.009941648919240719,0.009941648919240719,0.17523646170965138,0.1742046108655942,9921,8614,74
8,F3_Delta,F3,Delta,0.27181190346392925,0.6021251435531247,0.00767804004026374,0.00767804004026374,0.45841837339384056,0.4568106542058773,9921,8614,75
23,C4_Beta,C4,Beta,0.24001729629414167,0.6241994218496993,0.007215017790367883,0.007215017790367883,0.038538835622329,0.0382671356795857,9921,8614,76
79,F4_all_bands,F4,all_bands,0.23245459622251138,0.6297154189453469,0.007100439077934019,0.007100439077934019,1.8106772675328054e-08,8.277062726971488e-09,9921,8614,77
81,C4_all_bands,C4,all_bands,0.18702835753570274,0.6654065162260602,0.006368979728964446,0.006368979728964446,6.361555822361256e-09,-9.510048062529005e-09,9921,8614,78
86,F7_all_bands,F7,all_bands,0.16599396270988964,0.68370162674354,0.006000152423909663,0.006000152423909663,6.174909344117778e-09,-2.1421853267756385e-09,9921,8614,79
